"img href","img src","v5-item","price-offer","price-offer 2","price-tradein","price-tradein 2","price","price 2","specs","specs 2","specs 3","specs 4","specs 5","specs 6","specs 7","specs 8","promotion"
"https://hoanghamobile.com/laptop/asus-zenbook-duo-ux8406ma-pz142w","https://cdn.hoanghamobile.com/Uploads/2024/04/12/asus-zenbook-duo-2024-ux8406-1.png;trim.threshold=80;trim.percentpadding=0.5;width=250;height=150;mode=pad;paddingWidth=5;","Laptop ASUS Zenbook DUO UX8406MA-PZ142W","","","","","Liên hệ","","U9 - 185H","32GB","1TB SSD","GPU tích hợp","14 inch","2880x1800","120Hz","1.39kg","9"
"https://hoanghamobile.com/laptop/asus-zenbook-duo-ux8406ma-pz307w","https://cdn.hoanghamobile.com/Uploads/2024/04/12/asus-zenbook-duo-2024-ux8406-1.png;trim.threshold=80;trim.percentpadding=0.5;width=250;height=150;mode=pad;paddingWidth=5;","Laptop ASUS Zenbook DUO UX8406MA-PZ307W","","","","","Liên hệ","","U7 - 155H","16GB","512GB SSD","GPU tích hợp","14 inch","2880x1800","120Hz","1.35kg","9"
"https://hoanghamobile.com/laptop/laptop-asus-tuf-gaming-a15-fa506nf-hn005w-chinh-hang","https://cdn.hoanghamobile.com/Uploads/2024/04/05/02-fx506p-l.png;trim.threshold=80;trim.percentpadding=0.5;width=250;height=150;mode=pad;paddingWidth=5;","Laptop ASUS TUF Gaming A15 FA506NF-HN005W","Giá HSSV","15,290,000 ₫","Giá lên đời từ","13,290,000 ₫","16,290,000 ₫","19,990,000 ₫","R5 - 7535HS","8GB","512GB SSD","RTX 2050","15.6 inch","1920x1080","144Hz","2.30kg","10"
"https://hoanghamobile.com/laptop/laptop-asus-zenbook-14-oled-ux3405ma-pp151w-chinh-hang","https://cdn.hoanghamobile.com/Uploads/2024/01/18/asus-zenbook-14-oled-ux3405-blue-1.png;trim.threshold=80;trim.percentpadding=0.5;width=250;height=150;mode=pad;paddingWidth=5;","Laptop ASUS Zenbook 14 OLED UX3405MA-PP151W","Giá HSSV","25,490,000 ₫","Giá lên đời từ","22,990,000 ₫","25,990,000 ₫","","U5 - 125H","16GB","512GB SSD","GPU tích hợp","14 inch","2880x1800","120Hz","1.20kg","11"
"https://hoanghamobile.com/laptop/laptop-asus-zenbook-14-oled-ux3405ma-pp152w-chinh-hang","https://cdn.hoanghamobile.com/Uploads/2024/01/18/asus-zenbook-14-oled-ux3405-blue-1.png;trim.threshold=80;trim.percentpadding=0.5;width=250;height=150;mode=pad;paddingWidth=5;","Laptop ASUS Zenbook 14 OLED UX3405MA-PP152W","","","","","Liên hệ","","U5 - 125H","32GB","1TB SSD","GPU tích hợp","14 inch","2880x1800","120Hz","1.20kg","9"
"https://hoanghamobile.com/laptop/laptop-asus-zenbook-14-oled-ux3405ma-pp588w-chinh-hang","https://cdn.hoanghamobile.com/Uploads/2024/01/18/asus-zenbook-14-oled-ux3405-silver-1.png;trim.threshold=80;trim.percentpadding=0.5;width=250;height=150;mode=pad;paddingWidth=5;","Laptop ASUS Zenbook 14 OLED UX3405MA-PP588W","Giá HSSV","25,790,000 ₫","Giá lên đời từ","23,490,000 ₫","26,490,000 ₫","28,990,000 ₫","U5 - 125H","16GB","512GB SSD","GPU tích hợp","14 inch","2880x1800","120Hz","1.20kg","14"
"https://hoanghamobile.com/laptop/laptop-msi-cyborg-15-ai-a11ve-053vn-chinh-hang","https://cdn.hoanghamobile.com/Uploads/2024/02/28/msi-cyborg-15-ai-a1v.png;trim.threshold=80;trim.percentpadding=0.5;width=250;height=150;mode=pad;paddingWidth=5;","Laptop MSI Cyborg 15 AI A1VE-053VN","Giá HSSV","26,490,000 ₫","Giá lên đời từ","23,990,000 ₫","26,990,000 ₫","34,990,000 ₫","U7 - 155H","16GB","512GB SSD","RTX 4050","15.6 inch","1920x1080","60Hz","1.98kg","12"
"https://hoanghamobile.com/laptop/asus-vivobook-go-e1404fa-nk186w","https://cdn.hoanghamobile.com/Uploads/2024/04/18/asus-vivobook-go-14-e1404f-black-1.png;trim.threshold=80;trim.percentpadding=0.5;width=250;height=150;mode=pad;paddingWidth=5;","Laptop ASUS Vivobook Go 14 E1404FA-NK186W","Giá HSSV","10,990,000 ₫","Giá lên đời từ","9,190,000 ₫","12,190,000 ₫","","R5 - 7520U","16GB","512GB SSD","GPU tích hợp","14 inch","1920x1080","60Hz","1.38kg","14"
"https://hoanghamobile.com/laptop/laptop-dell-inspiron-15-3520-n5i5011w1-chinh-hang","https://cdn.hoanghamobile.com/Uploads/2024/01/26/n5i5011w1-1.png;trim.threshold=80;trim.percentpadding=0.5;width=250;height=150;mode=pad;paddingWidth=5;","Laptop Dell Inspiron 15 3520 (N5I5011W1)","Giá HSSV","14,290,000 ₫","Giá lên đời từ","11,790,000 ₫","14,790,000 ₫","16,490,000 ₫","i5 - 1235U","16GB","512GB SSD","GPU tích hợp","15.6 inch","1920x1080","120Hz","1.9kg","13"
"https://hoanghamobile.com/laptop/laptop-dell-inspiron-15-3520-71027003-chinh-hang","https://cdn.hoanghamobile.com/Uploads/2024/02/17/dell-inspiron-15-3520-black-1.png;trim.threshold=80;trim.percentpadding=0.5;width=250;height=150;mode=pad;paddingWidth=5;","Laptop Dell Inspiron 15 3520 (71027003)","Giá HSSV","12,990,000 ₫","Giá lên đời từ","10,490,000 ₫","13,490,000 ₫","16,990,000 ₫","i5 - 1235U","8GB","512GB SSD","GPU tích hợp","15.6 inch","1920x1080","120Hz","1.65kg","13"
"https://hoanghamobile.com/laptop/msi-bravo-15-c7vfk-275vn","https://cdn.hoanghamobile.com/Uploads/2024/04/17/laptop-gaming-msi-bravo-15-c7vfk-275vn-r7-7735hs-8cfa10969f4a481a9defec37c5ab639e.png;trim.threshold=80;trim.percentpadding=0.5;width=250;height=150;mode=pad;paddingWidth=5;","Laptop Gaming MSI Bravo 15 C7VFK-275VN","Giá HSSV","23,490,000 ₫","Giá lên đời từ","20,990,000 ₫","23,990,000 ₫","28,990,000 ₫","R7 - 7735HS","16GB","512GB SSD","RTX 4060","15.6 inch","1920x1080","144Hz","2.25kg","13"
"https://hoanghamobile.com/laptop/laptop-lenovo-thinkpad-e16-gen-1-21jn006pvn-chinh-hang","https://cdn.hoanghamobile.com/Uploads/2024/03/27/thinkpad-e16-gen-1-intel-ct1-03.png;trim.threshold=80;trim.percentpadding=0.5;width=250;height=150;mode=pad;paddingWidth=5;","Laptop Lenovo ThinkPad E16 Gen 1 (21JN006PVN)","Giá HSSV","17,490,000 ₫","Giá lên đời từ","15,990,000 ₫","18,990,000 ₫","","i5 - 1335U","8GB","512GB SSD","GPU tích hợp","16 inch","1920x1200","60Hz","1.81kg","14"
"https://hoanghamobile.com/laptop/laptop-gaming-acer-aspire-5-2023-a515-58gm-53pz-chinh-hang","https://cdn.hoanghamobile.com/Uploads/2024/02/23/acer-gaming-aspire-5-2023-a515-58gm.png;trim.threshold=80;trim.percentpadding=0.5;width=250;height=150;mode=pad;paddingWidth=5;","Laptop Gaming Acer Aspire 5 - A515-58GM-53PZ","Giá HSSV","14,490,000 ₫","Giá lên đời từ","12,390,000 ₫","15,390,000 ₫","20,499,000 ₫","i5 - 13420H","8GB","512GB SSD","RTX 2050","15.6 inch","1920x1080","60Hz","1.7kg","14"
"https://hoanghamobile.com/laptop/dell-vostro-15-3530-v5i3001w1","https://cdn.hoanghamobile.com/Uploads/2024/04/16/n5i5791w1-1.png;trim.threshold=80;trim.percentpadding=0.5;width=250;height=150;mode=pad;paddingWidth=5;","Laptop Dell Vostro 15 3530 (V5I3001W1)","Giá HSSV","10,390,000 ₫","Giá lên đời từ","7,890,000 ₫","10,890,000 ₫","16,290,000 ₫","i3 - 1305U","8GB","256GB SSD","GPU tích hợp","15.6 inch","1920x1080","120Hz","1.90kg","13"
"https://hoanghamobile.com/laptop/laptop-dell-vostro-3520-71030559-chinh-hang","https://cdn.hoanghamobile.com/Uploads/2024/02/21/dell-vostro-15-3520-black.png;trim.threshold=80;trim.percentpadding=0.5;width=250;height=150;mode=pad;paddingWidth=5;","Laptop Dell Vostro 3520 (71030559)","Giá HSSV","13,990,000 ₫","Giá lên đời từ","11,490,000 ₫","14,490,000 ₫","19,990,000 ₫","i5 - 1235U","16GB","512GB SSD","GPU tích hợp","15.6 inch","1920x1080","120Hz","1.66kg","12"
"https://hoanghamobile.com/laptop/laptop-asus-vivobook-14x-oled-s3405va-km071w-chinh-hang","https://cdn.hoanghamobile.com/Uploads/2024/02/16/asus-vivobook-14x-oled-s3405-k3405-black-1.png;trim.threshold=80;trim.percentpadding=0.5;width=250;height=150;mode=pad;paddingWidth=5;","Laptop ASUS Vivobook 14X OLED S3405VA-KM071W","Giá HSSV","21,390,000 ₫","Giá lên đời từ","18,890,000 ₫","21,890,000 ₫","26,990,000 ₫","i9 - 13900H","16GB","512GB SSD","GPU tích hợp","14 inch","2880x1800","90Hz","1.4kg","13"
"https://hoanghamobile.com/laptop/laptop-asus-vivobook-15x-oled-m3504ya-l1332w-chinh-hang","https://cdn.hoanghamobile.com/Uploads/2024/02/16/asus-vivobook-15x-oled-m3504-black-1.png;trim.threshold=80;trim.percentpadding=0.5;width=250;height=150;mode=pad;paddingWidth=5;","Laptop ASUS Vivobook 15X OLED M3504YA-L1332W","Giá HSSV","14,990,000 ₫","Giá lên đời từ","12,790,000 ₫","15,790,000 ₫","26,000,000 ₫","R7 - 7730U","16GB","512GB SSD","GPU tích hợp","15.6 inch","1920x1080","60Hz","1.60kg","14"
"https://hoanghamobile.com/laptop/laptop-msi-katana-15-b13vfk-676vn-chinh-hang","https://cdn.hoanghamobile.com/Uploads/2024/02/16/katana-15-b13v.png;trim.threshold=80;trim.percentpadding=0.5;width=250;height=150;mode=pad;paddingWidth=5;","Laptop MSI Katana 15 B13VFK-676VN","Giá HSSV","27,990,000 ₫","Giá lên đời từ","26,990,000 ₫","29,990,000 ₫","36,990,000 ₫","i7 - 13620H","16GB","1TB SSD","RTX 4060","15.6 inch","1920x1080","144Hz","2.25kg","14"
"https://hoanghamobile.com/laptop/laptop-dell-inspiron-15-3530-71026454-chinh-hang","https://cdn.hoanghamobile.com/Uploads/2024/02/17/dell-inspiron-15-3530-black-1.png;trim.threshold=80;trim.percentpadding=0.5;width=250;height=150;mode=pad;paddingWidth=5;","Laptop Dell Inspiron 15 3530 (71026454)","Giá HSSV","19,990,000 ₫","Giá lên đời từ","17,490,000 ₫","20,490,000 ₫","22,990,000 ₫","i7 - 1355U","16GB","512GB SSD","GPU tích hợp","15.6 inch","1920x1080","60Hz","1.65kg","12"
"https://hoanghamobile.com/laptop/laptop-dell-inspiron-16-5630-71020244-chinh-hang","https://cdn.hoanghamobile.com/Uploads/2024/02/19/dell-inspiron-16-5630-silver-1.png;trim.threshold=80;trim.percentpadding=0.5;width=250;height=150;mode=pad;paddingWidth=5;","Laptop Dell Inspiron 16 5630 (71020244)","Giá HSSV","20,490,000 ₫","Giá lên đời từ","17,990,000 ₫","20,990,000 ₫","22,990,000 ₫","i5-1335U","8GB","512GB SSD","GPU tích hợp","16 inch","1920x1200","60Hz","1.94kg","13"
"https://hoanghamobile.com/laptop/laptop-dell-vostro-15-3530-v5i3465w1-chinh-hang","https://cdn.hoanghamobile.com/Uploads/2024/02/19/dell-vostro-15-3530-gray-1.png;trim.threshold=80;trim.percentpadding=0.5;width=250;height=150;mode=pad;paddingWidth=5;","Laptop Dell Vostro 15 3530 (V5I3465W1)","Giá HSSV","11,290,000 ₫","Giá lên đời từ","8,790,000 ₫","11,790,000 ₫","14,990,000 ₫","i3 - 1305U","8GB","512GB SSD","GPU tích hợp","15.6 inch","1920x1080","120Hz","1.90kg","13"
"https://hoanghamobile.com/laptop/laptop-dell-inspiron-14-5430-n4i5497w1-chinh-hang","https://cdn.hoanghamobile.com/Uploads/2024/02/19/dell-inspiron-14-5430-silver-1.png;trim.threshold=80;trim.percentpadding=0.5;width=250;height=150;mode=pad;paddingWidth=5;","Laptop Dell Inspiron 14 5430 (N4I5497W1)","Giá HSSV","20,990,000 ₫","Giá lên đời từ","18,490,000 ₫","21,490,000 ₫","23,990,000 ₫","i5 - 1340P","16GB","512GB SSD","MX550","14 inch","1920x1080","60Hz","1.531kg","13"
"https://hoanghamobile.com/laptop/laptop-dell-inspiron-14-7430-n7430i58w1-chinh-hang","https://cdn.hoanghamobile.com/Uploads/2024/02/19/dell-inspiron-14-7430-silver-1.png;trim.threshold=80;trim.percentpadding=0.5;width=250;height=150;mode=pad;paddingWidth=5;","Laptop Dell Inspiron 14 7430 (N7430I58W1)","Giá HSSV","19,990,000 ₫","Giá lên đời từ","17,490,000 ₫","20,490,000 ₫","24,990,000 ₫","i5 - 1335U","8GB","512GB SSD","GPU tích hợp","14 inch","1920x1200","60Hz","1.58kg","13"
"https://hoanghamobile.com/laptop/laptop-gaming-msi-cyborg-15-a12ucx-618vn-chinh-hang","https://cdn.hoanghamobile.com/Uploads/2024/02/19/msi-gaming-cyborg-15-a12u.png;trim.threshold=80;trim.percentpadding=0.5;width=250;height=150;mode=pad;paddingWidth=5;","Laptop Gaming MSI Cyborg 15 A12UCX-618VN","Giá HSSV","15,390,000 ₫","Giá lên đời từ","12,890,000 ₫","15,890,000 ₫","19,990,000 ₫","i5 - 12450H","16GB","512GB SSD","RTX 2050","15.6 inch","1920x1080","144Hz","1.98kg","13"
"https://hoanghamobile.com/laptop/laptop-dell-inspiron-15-3530-n5i5791w1-chinh-hang","https://cdn.hoanghamobile.com/Uploads/2024/03/19/dell-inspiron-15-3530-black.png;trim.threshold=80;trim.percentpadding=0.5;width=250;height=150;mode=pad;paddingWidth=5;","Laptop Dell Inspiron 15 3530 (N5I5791W1)","Giá HSSV","16,890,000 ₫","Giá lên đời từ","14,390,000 ₫","17,390,000 ₫","19,990,000 ₫","i5 - 1335U","16GB","512GB SSD","GPU tích hợp","15.6 inch","1920x1080","120Hz","1.65kg","14"
"https://hoanghamobile.com/laptop/laptop-gaming-acer-nitro-v-anv15-51-58an-chinh-hang","https://cdn.hoanghamobile.com/Uploads/2024/02/23/nitro-v-anv15-51.png;trim.threshold=80;trim.percentpadding=0.5;width=250;height=150;mode=pad;paddingWidth=5;","Laptop Gaming Acer Nitro V - ANV15-51-58AN","Giá HSSV","18,290,000 ₫","Giá lên đời từ","16,990,000 ₫","19,990,000 ₫","21,499,000 ₫","i5 - 13420H","8GB","512GB SSD","RTX 2050","15.6 inch","1920x1080","144Hz","2.1kg","13"
"https://hoanghamobile.com/laptop/laptop-dell-inspiron-15-3530-n3530i716w1-chinh-hang","https://cdn.hoanghamobile.com/Uploads/2024/02/17/dell-inspiron-15-3530-silver-1.png;trim.threshold=80;trim.percentpadding=0.5;width=250;height=150;mode=pad;paddingWidth=5;","Laptop Dell Inspiron 15 3530 (N3530I716W1)","Giá HSSV","21,790,000 ₫","Giá lên đời từ","19,290,000 ₫","22,290,000 ₫","26,990,000 ₫","i7 - 1355U","16GB","512GB SSD","MX550","15.6 inch","1920x1080","60Hz","1.65kg","12"
"https://hoanghamobile.com/laptop/laptop-asus-vivobook-flip-tp3402va-lz118w-chinh-hang","https://cdn.hoanghamobile.com/Uploads/2024/04/05/vivobook-s-14-flip-tp3402v-refresh-product-photo-2s-cool-silver-05-2400x2400.png;trim.threshold=80;trim.percentpadding=0.5;width=250;height=150;mode=pad;paddingWidth=5;","Laptop ASUS Vivobook S 14 Flip TP3402VA-LZ118W","Giá HSSV","21,490,000 ₫","Giá lên đời từ","19,590,000 ₫","22,590,000 ₫","26,490,000 ₫","i9 - 13900H","16GB","512GB SSD","GPU tích hợp","14 inch","1920x1200","60Hz","1.50kg","9"
"https://hoanghamobile.com/laptop/lenovo-v14-g4-iah-83fr000uvn","https://cdn.hoanghamobile.com/Uploads/2024/04/03/lenovo-v14-g4-iah-ct1-09.png;trim.threshold=80;trim.percentpadding=0.5;width=250;height=150;mode=pad;paddingWidth=5;","Laptop Lenovo V14 G4 IAH (83FR000UVN)","Giá HSSV","11,990,000 ₫","Giá lên đời từ","9,490,000 ₫","12,490,000 ₫","13,490,000 ₫","i5 - 12500H","16GB","512GB SSD","GPU tích hợp","14 inch","1920x1080","60Hz","1.43kg","13"
"https://hoanghamobile.com/laptop/laptop-asus-vivobook-15-x1504va-nj069w-chinh-hang","https://cdn.hoanghamobile.com/Uploads/2024/03/08/asus-vivobook-15-x1504-silver.png;trim.threshold=80;trim.percentpadding=0.5;width=250;height=150;mode=pad;paddingWidth=5;","Laptop ASUS Vivobook 15 X1504VA-NJ069W","Giá HSSV","9,390,000 ₫","Giá lên đời từ","7,190,000 ₫","10,190,000 ₫","13,690,000 ₫","i3 - 1315U","8GB","512GB SSD","GPU tích hợp","15.6 inch","1920x1080","60Hz","1.70kg","15"
"https://hoanghamobile.com/laptop/laptop-lenovo-ideapad-1-15amn7-82vg0022vn-chinh-hang","https://cdn.hoanghamobile.com/Uploads/2024/02/27/lenovo-ideapad-1-15amn7-gray.png;trim.threshold=80;trim.percentpadding=0.5;width=250;height=150;mode=pad;paddingWidth=5;","Laptop Lenovo IdeaPad 1 15AMN7 (82VG0022VN)","Giá HSSV","8,730,500 ₫","Giá lên đời từ","6,190,000 ₫","9,190,000 ₫","13,490,000 ₫","R5 - 7520U","8GB","512GB SSD","GPU tích hợp","15.6 inch","1920x1080","60Hz","1.58kg","14"
"https://hoanghamobile.com/laptop/laptop-asus-vivobook-15-oled-a1505va-l1491w-chinh-hang","https://cdn.hoanghamobile.com/Uploads/2024/04/05/vivobook-15-oled-x1505v-product-photo-1s-cool-silver-black-keyboard-05-2.png;trim.threshold=80;trim.percentpadding=0.5;width=250;height=150;mode=pad;paddingWidth=5;","Laptop ASUS Vivobook 15 OLED A1505VA-L1491W","Giá HSSV","18,490,000 ₫","Giá lên đời từ","17,490,000 ₫","20,490,000 ₫","23,990,000 ₫","i7 - 13700H","16GB","512GB SSD","GPU tích hợp","15.6 inch","1920x1080","60Hz","1.7kg","8"
"https://hoanghamobile.com/laptop/laptop-msi-modern-15-b12mo-625vn-chinh-hang","https://cdn.hoanghamobile.com/Uploads/2024/02/23/msi-modern-15-black.png;trim.threshold=80;trim.percentpadding=0.5;width=250;height=150;mode=pad;paddingWidth=5;","Laptop MSI Modern 15 B12MO-625VN","Giá HSSV","10,490,000 ₫","Giá lên đời từ","7,990,000 ₫","10,990,000 ₫","13,990,000 ₫","i5 - 1235U","8GB","512GB SSD","GPU tích hợp","15.6 inch","1920x1080","60Hz","1.7kg","13"
"https://hoanghamobile.com/laptop/lenovo-ideapad-1-15amn7-82vg0061vn","https://cdn.hoanghamobile.com/Uploads/2024/02/27/lenovo-ideapad-1-15amn7-gray.png;trim.threshold=80;trim.percentpadding=0.5;width=250;height=150;mode=pad;paddingWidth=5;","Laptop Lenovo IdeaPad 1 15AMN7 (82VG0061VN)","Giá HSSV","8,445,500 ₫","Giá lên đời từ","5,890,000 ₫","8,890,000 ₫","12,690,000 ₫","R5 - 7520U","8GB","256GB SSD","GPU tích hợp","15.6 inch","1920x1080","60Hz","1.58kg","14"
"https://hoanghamobile.com/laptop/laptop-lenovo-loq-15iax9-83gs000fvn-chinh-hang","https://cdn.hoanghamobile.com/Uploads/2024/01/30/83gs000fvn-1.png;trim.threshold=80;trim.percentpadding=0.5;width=250;height=150;mode=pad;paddingWidth=5;","Laptop Lenovo LOQ 15IAX9 (83GS000FVN)","Giá HSSV","16,490,000 ₫","Giá lên đời từ","13,990,000 ₫","16,990,000 ₫","20,490,000 ₫","i5 - 12450HX","8GB","512GB SSD","RTX 2050","15.6 inch","1920x1080","144Hz","2.38kg","13"
"https://hoanghamobile.com/laptop/laptop-asus-vivobook-14-oled-m1405ya-km047w-chinh-hang","https://cdn.hoanghamobile.com/Uploads/2024/02/01/asus-vivobook-14-oled-m1405-silver-1.png;trim.threshold=80;trim.percentpadding=0.5;width=250;height=150;mode=pad;paddingWidth=5;","Laptop ASUS Vivobook 14 OLED M1405YA-KM047W","Giá HSSV","12,990,000 ₫","Giá lên đời từ","10,490,000 ₫","13,490,000 ₫","17,990,000 ₫","R5 - 7530U","8GB","512GB SSD","GPU tích hợp","14 inch","2880x1800","90Hz","1.60kg","14"
"https://hoanghamobile.com/laptop/laptop-gaming-hp-victus-15-fb1023ax-94f20pa-chinh-hang","https://cdn.hoanghamobile.com/Uploads/2024/01/31/hp-victus-15-black-1.png;trim.threshold=80;trim.percentpadding=0.5;width=250;height=150;mode=pad;paddingWidth=5;","Laptop Gaming HP Victus 15-fb1023AX (94F20PA)","Giá HSSV","16,390,000 ₫","Giá lên đời từ","13,890,000 ₫","16,890,000 ₫","23,990,000 ₫","R5 - 7535HS","8GB","512GB SSD","RTX 2050","15.6 inch","1920x1080","144Hz","2.29kg","13"
"https://hoanghamobile.com/laptop/laptop-gaming-hp-victus-15-fa1087tx-8c5m4pa-chinh-hang","https://cdn.hoanghamobile.com/Uploads/2024/01/31/hp-victus-15-black-1.png;trim.threshold=80;trim.percentpadding=0.5;width=250;height=150;mode=pad;paddingWidth=5;","Laptop Gaming HP Victus 15-fa1087TX (8C5M4PA)","Giá HSSV","27,290,000 ₫","Giá lên đời từ","24,790,000 ₫","27,790,000 ₫","32,990,000 ₫","i7 - 13620H","16GB","512GB SSD","RTX 3050","15.6 inch","1920x1080","60Hz","2.29kg","13"
"https://hoanghamobile.com/laptop/laptop-dell-vostro-14-3430-71011900-chinh-hang","https://cdn.hoanghamobile.com/Uploads/2024/01/17/dell-vostro-14-1430-1.png;trim.threshold=80;trim.percentpadding=0.5;width=250;height=150;mode=pad;paddingWidth=5;","Laptop Dell Vostro 14 3430 (71011900)","Giá HSSV","15,190,000 ₫","Giá lên đời từ","12,690,000 ₫","15,690,000 ₫","20,990,000 ₫","i5 - 1335U","8GB","512GB SSD","GPU tích hợp","14 inch","1920x1080","60Hz","1.44kg","13"
